gene_name,gene_id,logfc,p
E2F8,ENSG00000129173.13,8.2306911233101,8.998476101902e-15
SPC25,ENSG00000152253.9,8.08776402400753,3.10592227056347e-14
TLR8,ENSG00000101916.12,7.6035621422976,1.38557428071219e-12
MIR223HG,ENSG00000274536.8,7.52811863704187,7.86329556231186e-13
TOP2A,ENSG00000131747.15,7.46676449929933,7.55291449546327e-147
GPR82,ENSG00000171657.6,7.35666241419246,1.3269653044590298e-11
FAM111B,ENSG00000189057.11,7.28901378412535,6.26093664604801e-28
KIF4A,ENSG00000090889.12,7.26491152573036,8.09318926522728e-33
CDK1,ENSG00000170312.17,7.07564244312731,4.80551473593488e-31
DSCC1,ENSG00000136982.6,7.01757363967058,1.21160115613602e-20
ERCC6L,ENSG00000186871.7,6.9388414733024,1.36730922581393e-10
MPEG1,ENSG00000197629.6,6.91827294080245,5.81511443396511e-10
SLA,ENSG00000155926.14,6.90445427512512,6.720937656055527e-302
CDCA3,ENSG00000111665.12,6.84417893121687,2.61121095916458e-10
MCM10,ENSG00000065328.17,6.62174251864537,2.57664873177857e-18
DEPDC1,ENSG00000024526.17,6.56979478915193,5.37349694814766e-14
CDC45,ENSG00000093009.11,6.50281128815887,2.94257679450589e-34
CCNA2,ENSG00000145386.11,6.41644760245043,4.44041924564991e-45
MKI67,ENSG00000148773.14,6.34509505318652,6.82606893071831e-172
PBK,ENSG00000168078.10,6.29471128311323,1.7696212963815602e-09
NDC80,ENSG00000080986.13,6.27594244406912,7.363251508998121e-35
KRT17P1,ENSG00000131885.17,6.17753339294836,4.94441438648084e-08
ZWINT,ENSG00000122952.17,6.12228695011166,8.38424576561078e-69
ANKEF1,ENSG00000132623.16,6.10987312271651,6.90941837884687e-08
CD14,ENSG00000170458.14,6.00427477610382,1.21845086059867e-121
NCAPG,ENSG00000109805.10,5.99997321485624,1.75323404196466e-73
PKMYT1,ENSG00000127564.17,5.99901029945022,1.81317607162583e-28
HMMR,ENSG00000072571.20,5.93957888262104,5.09266756851341e-38
KIF18B,ENSG00000186185.14,5.9211597317295,6.98658419219851e-35
ASPM,ENSG00000066279.19,5.88990466260395,2.0693223254681305e-61
FOXM1,ENSG00000111206.13,5.80592715340622,1.73581687073993e-32
