gene_id,MFL01,MFL02,MFL03,MFL04,MFN01,MFN02,MFN03,MFN04
ENSG00000231050.2,3,5,2,2,4,5,7,5
ENSG00000169885.10,2,5,2,5,4,2,3,3
ENSG00000178821.13,4,2,0,2,3,1,3,1
ENSG00000142609.20,1,2,1,0,1,0,0,1
ENSG00000233542.2,0,0,0,1,0,0,0,1
ENSG00000187730.9,0,0,1,0,1,0,0,0
ENSG00000226969.1,0,0,0,0,0,0,0,0
ENSG00000067606.17,22,30,14,22,25,32,31,32
ENSG00000271806.1,1,0,0,0,1,1,1,0
ENSG00000182873.5,7,4,9,4,7,8,6,9
ENSG00000162585.17,492,510,332,444,409,380,530,381
ENSG00000234396.3,0,0,0,0,0,0,0,0
ENSG00000157933.10,386,353,297,407,654,759,1024,741
ENSG00000287356.1,5,6,4,6,2,4,3,4
ENSG00000116151.14,104,88,74,92,109,96,107,97
ENSG00000272161.1,0,0,0,0,0,1,0,0
ENSG00000269896.2,55,35,30,61,39,55,57,44
ENSG00000272420.1,1,0,2,4,5,3,8,3
ENSG00000157916.20,2171,2184,1687,1902,1772,1974,2407,1921
ENSG00000157911.11,187,183,118,175,136,125,168,160
ENSG00000149527.18,1,0,1,1,1,0,0,1
ENSG00000229393.1,0,0,0,2,0,0,0,0
ENSG00000157881.16,391,431,312,375,336,332,432,354
ENSG00000197921.6,0,0,0,1,0,0,0,0
ENSG00000272449.2,5,3,4,2,3,4,7,1
ENSG00000238164.6,34,56,28,34,39,29,45,36
ENSG00000157873.18,765,780,582,668,536,494,560,489
ENSG00000225931.3,1,2,1,2,3,0,1,3
ENSG00000228037.1,2,2,2,5,2,5,1,1
ENSG00000289610.1,0,3,3,0,2,1,1,1
ENSG00000157870.17,170,169,133,147,200,227,276,208
ENSG00000142606.16,0,2,0,0,0,0,0,1
ENSG00000237058.1,0,0,0,0,0,1,0,0
ENSG00000215912.12,17,8,7,10,14,6,12,11
ENSG00000285945.1,1,0,0,0,0,0,0,0
ENSG00000284745.1,0,0,0,0,0,0,0,0
ENSG00000142611.17,0,0,0,1,0,0,0,0
ENSG00000283572.1,0,1,0,0,0,0,0,0
ENSG00000279839.1,0,0,0,0,0,0,0,0
ENSG00000272235.1,0,0,0,0,0,0,0,0
ENSG00000286518.1,0,0,0,0,0,0,0,0
ENSG00000130762.15,20,18,16,19,31,43,46,37
ENSG00000272088.1,0,0,0,1,0,0,0,2
ENSG00000162591.16,242,254,206,228,489,411,577,476
ENSG00000207776.1,0,0,0,0,0,0,0,0
ENSG00000238260.2,2,1,5,1,3,7,4,2
ENSG00000158109.15,599,612,457,523,727,757,974,800
ENSG00000116213.16,590,589,443,516,542,533,652,509
ENSG00000078900.15,60,59,45,64,97,108,113,82
ENSG00000227589.1,0,0,1,1,5,2,2,4
ENSG00000235131.1,2,0,1,1,1,1,0,0
ENSG00000227372.12,297,275,215,285,233,263,302,233
ENSG00000162592.10,21,26,27,19,33,38,46,29
ENSG00000235169.11,1,3,5,4,4,3,6,3
ENSG00000130764.10,824,803,554,704,702,795,952,742
ENSG00000266075.2,0,3,1,0,1,1,1,2
