gene_id,MFN01,MFN02,MFN03,MFN04,MFPA01,MFPA02,MFPA03,MFPA04
ENSG00000169885.10,4,2,3,3,0,0,1,0
ENSG00000178821.13,3,1,3,1,1,0,1,7
ENSG00000142609.20,1,0,0,1,4,2,11,3
ENSG00000233542.2,0,0,0,1,0,0,0,0
ENSG00000187730.9,1,0,0,0,1,0,0,2
ENSG00000226969.1,0,0,0,0,2,3,2,2
ENSG00000067606.17,25,32,31,32,15,9,15,11
ENSG00000271806.1,1,1,1,0,5,6,18,5
ENSG00000182873.5,7,8,6,9,0,1,7,4
ENSG00000162585.17,409,380,530,381,245,225,273,256
ENSG00000234396.3,0,0,0,0,2,0,2,1
ENSG00000157933.10,654,759,1024,741,384,293,330,389
ENSG00000287356.1,2,4,3,4,0,2,1,0
ENSG00000116151.14,109,96,107,97,15,11,14,13
ENSG00000272161.1,0,1,0,0,0,0,0,0
ENSG00000269896.2,39,55,57,44,2,2,10,8
ENSG00000272420.1,5,3,8,3,1,0,0,0
ENSG00000157916.20,1772,1974,2407,1921,986,857,948,1078
ENSG00000157911.11,136,125,168,160,67,70,69,96
ENSG00000149527.18,1,0,0,1,0,0,1,0
ENSG00000229393.1,0,0,0,0,0,0,0,0
ENSG00000157881.16,336,332,432,354,176,180,177,209
ENSG00000197921.6,0,0,0,0,0,0,1,0
ENSG00000272449.2,3,4,7,1,8,4,5,2
ENSG00000238164.6,39,29,45,36,15,7,6,9
ENSG00000157873.18,536,494,560,489,114,134,142,159
ENSG00000225931.3,3,0,1,3,3,2,0,1
ENSG00000228037.1,2,5,1,1,5,2,0,1
ENSG00000289610.1,2,1,1,1,0,0,0,0
ENSG00000157870.17,200,227,276,208,164,185,176,196
ENSG00000142606.16,0,0,0,1,0,0,1,0
ENSG00000237058.1,0,1,0,0,0,0,0,0
ENSG00000215912.12,14,6,12,11,3,1,4,5
ENSG00000285945.1,0,0,0,0,0,0,0,0
ENSG00000284745.1,0,0,0,0,0,0,1,0
ENSG00000142611.17,0,0,0,0,3,3,8,1
ENSG00000283572.1,0,0,0,0,0,0,0,0
ENSG00000279839.1,0,0,0,0,5,1,5,4
ENSG00000272235.1,0,0,0,0,0,0,1,0
ENSG00000286518.1,0,0,0,0,0,0,1,0
ENSG00000130762.15,31,43,46,37,11,7,12,16
ENSG00000272088.1,0,0,0,2,0,0,0,0
ENSG00000162591.16,489,411,577,476,18,29,18,22
ENSG00000207776.1,0,0,0,0,0,0,1,0
ENSG00000238260.2,3,7,4,2,1,0,1,1
ENSG00000158109.15,727,757,974,800,541,461,494,551
ENSG00000116213.16,542,533,652,509,172,175,147,189
ENSG00000078900.15,97,108,113,82,13,18,29,15
ENSG00000227589.1,5,2,2,4,0,2,1,1
ENSG00000235131.1,1,1,0,0,0,0,1,0
ENSG00000227372.12,233,263,302,233,47,52,48,60
ENSG00000162592.10,33,38,46,29,3,5,4,5
ENSG00000235169.11,4,3,6,3,3,0,1,0
ENSG00000130764.10,702,795,952,742,250,235,266,312
ENSG00000266075.2,1,1,1,2,2,1,2,6
ENSG00000272153.1,13,14,11,15,1,1,3,5
ENSG00000116198.14,568,628,804,587,185,197,187,208
ENSG00000169598.17,81,101,104,110,19,8,10,11
ENSG00000198912.12,430,513,571,470,277,261,244,317
ENSG00000236423.7,27,23,35,18,15,12,13,12
ENSG00000233304.7,0,0,0,0,2,0,2,0
ENSG00000284668.2,0,0,0,0,0,0,0,0
ENSG00000284703.1,0,0,0,0,7,4,11,3
ENSG00000229280.1,0,0,0,0,1,1,3,1
ENSG00000235054.4,0,0,0,0,0,0,2,0
ENSG00000284694.1,0,0,0,0,1,2,0,1
ENSG00000232596.3,0,0,0,0,4,3,5,2
ENSG00000196581.11,46,28,40,42,18,18,21,13
ENSG00000287586.1,11,27,21,22,0,0,0,1
ENSG00000284674.1,0,0,0,0,4,3,2,1
ENSG00000231510.1,0,0,0,0,0,1,0,2
ENSG00000284616.1,0,0,0,0,2,0,1,0
ENSG00000284692.2,0,0,0,0,1,1,1,3
ENSG00000236948.2,0,0,0,0,0,0,1,0
ENSG00000264101.1,0,0,0,0,0,0,0,0
ENSG00000131697.18,353,395,445,356,71,76,96,88
ENSG00000069424.16,9284,9133,11506,9329,4679,4043,4644,5209
ENSG00000116254.18,2,3,5,3,7,7,8,10
ENSG00000285629.1,1,0,0,0,0,0,0,0
ENSG00000116251.11,1074,1251,1424,1294,833,836,831,964
ENSG00000226944.1,0,1,1,0,0,1,0,0
ENSG00000158286.13,8,15,10,10,3,0,3,2
ENSG00000116237.16,1998,2170,2772,2273,787,699,679,778
ENSG00000225077.3,6,7,11,4,4,6,7,2
ENSG00000173673.8,0,0,0,1,0,0,0,0
ENSG00000158292.7,51,55,61,46,31,22,27,21
ENSG00000097021.20,306,279,397,277,120,107,122,118
ENSG00000271746.1,1,1,1,0,0,0,1,0
ENSG00000069812.11,0,0,2,1,2,1,2,4
ENSG00000187017.18,5,6,5,7,1,2,4,3
ENSG00000231868.1,0,1,0,0,0,3,1,2
ENSG00000215788.11,0,1,3,2,2,5,1,5
ENSG00000171680.23,3,2,7,1,0,1,2,0
ENSG00000162408.11,387,451,535,400,90,98,94,141
ENSG00000253022.1,1,0,1,0,3,4,10,4
ENSG00000229519.2,0,2,1,2,1,0,1,1
ENSG00000173662.21,0,0,0,0,0,0,2,0
ENSG00000204859.13,668,636,817,604,139,108,132,128
ENSG00000162413.17,402,391,499,438,2237,2136,2172,2532
ENSG00000116273.6,190,227,290,223,231,195,231,262
ENSG00000041988.16,249,242,295,217,188,175,214,232
ENSG00000007923.17,695,807,915,740,129,132,120,136
ENSG00000228750.7,0,0,0,0,3,5,4,1
ENSG00000284744.1,0,0,0,0,4,7,8,3
ENSG00000237436.1,1,1,2,1,0,0,1,0
ENSG00000171735.19,216,230,284,224,202,206,214,219
ENSG00000227950.1,0,0,0,0,2,1,2,3
ENSG00000207056.1,0,0,0,0,0,1,2,3
ENSG00000237402.1,0,0,0,0,0,0,3,0
ENSG00000270171.1,1,0,1,0,0,0,1,0
ENSG00000270035.1,0,1,2,0,0,0,0,0
ENSG00000269978.1,2,0,0,0,1,0,0,1
ENSG00000049245.13,860,1037,1227,1033,487,428,472,581
ENSG00000269925.1,15,15,19,10,3,3,3,6
ENSG00000049246.15,46,53,80,59,12,13,13,13
ENSG00000236266.1,0,0,1,1,0,0,0,0
ENSG00000049247.14,252,264,291,281,133,137,155,170
ENSG00000049249.9,498,724,835,604,124,137,114,127
ENSG00000270330.1,0,0,0,0,0,0,0,0
ENSG00000116288.13,2274,2608,2995,2616,1076,1075,1114,1158
ENSG00000200344.1,1,4,1,0,1,0,0,1
ENSG00000284747.1,12,10,11,3,5,3,1,2
ENSG00000284716.1,0,0,1,0,3,8,8,5
ENSG00000116285.13,16,19,30,24,57,66,62,80
ENSG00000238290.1,0,0,0,0,5,0,10,2
ENSG00000232848.1,0,1,1,0,3,2,0,1
ENSG00000229305.1,0,0,0,0,3,0,0,0
ENSG00000288816.1,0,0,0,0,1,0,1,0
ENSG00000227634.3,0,0,0,0,0,1,0,0
ENSG00000162426.16,2,8,10,5,3,4,3,6
ENSG00000142599.19,519,558,629,504,198,141,172,178
ENSG00000232912.6,0,0,1,1,0,0,0,0
ENSG00000221083.1,0,0,0,0,6,3,10,4
ENSG00000270282.1,0,0,0,0,1,0,0,0
ENSG00000234619.1,5,4,4,2,0,2,3,1
ENSG00000224315.2,2,2,1,2,1,1,1,2
ENSG00000222511.2,1,0,1,0,0,0,0,0
ENSG00000226545.1,1,1,0,1,0,1,1,2
ENSG00000228423.2,0,0,0,0,1,2,1,1
ENSG00000229716.2,0,0,0,0,1,0,2,1
ENSG00000074800.16,17125,18169,21031,18330,22448,21510,20930,23370
ENSG00000274258.1,0,0,1,0,0,0,0,0
ENSG00000230679.1,1,0,2,0,0,0,0,0
ENSG00000201725.1,0,0,0,0,0,0,0,0
ENSG00000238249.2,3,9,13,8,7,4,3,4
ENSG00000232208.2,0,0,0,0,0,0,1,0
ENSG00000131686.15,0,0,0,0,2,1,5,1
ENSG00000265141.2,0,1,0,0,0,3,3,2
ENSG00000142583.18,749,898,1208,858,499,486,419,500
ENSG00000252404.1,0,0,0,0,0,1,1,1
ENSG00000180758.12,164,184,231,172,28,35,47,52
ENSG00000228526.7,17,21,13,9,4,6,8,7
ENSG00000234546.5,3,1,5,9,0,3,4,3
ENSG00000049239.13,2167,2474,2950,2412,339,265,325,365
ENSG00000171621.14,476,475,555,547,1909,1558,1979,2028
ENSG00000284652.1,1,4,4,1,0,1,0,0
ENSG00000284693.2,33,32,48,37,4,3,3,2
ENSG00000235263.1,0,0,0,0,0,1,0,0
ENSG00000171612.7,289,309,391,307,303,295,300,317
ENSG00000231181.1,12,9,9,11,2,4,4,4
ENSG00000188807.13,405,324,421,335,100,110,127,109
ENSG00000171608.17,1238,1216,1538,1249,68,52,73,73
ENSG00000179840.5,7,6,7,8,0,0,0,0
ENSG00000233268.3,0,0,0,0,2,3,2,1
ENSG00000231789.3,0,1,1,3,0,0,1,0
ENSG00000171603.18,3264,3511,4559,3633,1257,1105,1178,1325
ENSG00000271264.1,0,0,2,1,0,0,0,0
ENSG00000280113.2,0,0,0,0,2,1,0,0
ENSG00000178585.15,158,171,188,144,90,87,100,105
ENSG00000285701.1,1,5,1,0,0,1,1,0
ENSG00000162441.12,567,702,792,619,282,300,329,376
ENSG00000228150.1,1,6,1,0,5,1,3,0
ENSG00000173614.14,279,375,394,315,53,58,50,45
ENSG00000202415.1,1,0,2,0,0,3,3,0
ENSG00000283611.2,3,3,2,2,0,0,0,1
ENSG00000265521.1,3,0,1,0,0,0,0,0
ENSG00000162444.12,0,3,8,3,2,1,2,1
ENSG00000130939.20,873,1001,1180,1036,460,435,501,557
