rank,motif_ID,motif_alt_ID,adj_p-value,cnt
198,MA1126.1,MA1126.1.FOS::JUN,7.76e-05,2
199,MA0131.2,MA0131.2.HINFP,8.61e-05,2
200,MA0492.1,MA0492.1.JUND,8.69e-05,3
201,MA0084.1,MA0084.1.SRY,8.78e-05,2
202,MA0633.2,MA0633.2.Twist2,9.46e-05,0
203,MA2028.1,MA2028.1.ZNF416,0.000146,3
204,MA1143.1,MA1143.1.FOSL1::JUND,0.000225,3
205,MA0510.2,MA0510.2.RFX5,0.000241,2
206,MA0772.1,MA0772.1.IRF7,0.000244,2
207,MA0834.1,MA0834.1.ATF7,0.000267,2
208,MA0500.2,MA0500.2.MYOG,0.000332,0
209,MA1636.1,MA1636.1.CEBPG,0.000334,1
210,MA1123.2,MA1123.2.TWIST1,0.000336,0
211,MA0060.3,MA0060.3.NFYA,0.000506,2
212,MA0595.1,MA0595.1.SREBF1,0.000513,3
213,MA2044.1,MA2044.1.Neurod2,0.000525,0
214,MA1560.1,MA1560.1.SOHLH2,0.000754,3
215,MA0014.3,MA0014.3.PAX5,0.000754,3
216,MA1114.1,MA1114.1.PBX3,0.00106,3
217,MA0613.1,MA0613.1.FOXG1,0.00109,2
218,MA2045.1,MA2045.1.Olig2,0.0011,0
219,MA1868.1,MA1868.1.ZNF320,0.00116,3
220,MA0823.1,MA0823.1.HEY1,0.00136,3
221,MA0828.2,MA0828.2.SREBF2,0.00148,0
222,MA0111.1,MA0111.1.Spz1,0.00157,3
223,MA0816.1,MA0816.1.Ascl2,0.00192,0
224,MA0147.3,MA0147.3.MYC,0.0026,3
225,MA0784.2,MA0784.2.POU1F1,0.00325,0
226,MA0750.2,MA0750.2.ZBTB7A,0.00331,3
227,MA0698.1,MA0698.1.ZBTB18,0.00336,0
228,MA0798.3,MA0798.3.RFX3,0.0035,3
229,MA0796.1,MA0796.1.TGIF1,0.00366,0
230,MA0138.2,MA0138.2.REST,0.00368,1
231,MA0653.1,MA0653.1.IRF9,0.00373,0
232,MA0502.2,MA0502.2.NFYB,0.00395,0
233,MA0526.4,MA0526.4.USF2,0.00403,3
234,MA0650.3,MA0650.3.Hoxa13,0.00403,1
235,MA1718.1,MA1718.1.ZNF8,0.00455,3
236,MA0090.3,MA0090.3.TEAD1,0.00473,0
237,MA0652.1,MA0652.1.IRF8,0.00485,0
238,MA0596.1,MA0596.1.SREBF2,0.0049,3
239,MA0259.1,MA0259.1.ARNT::HIF1A,0.0056,3
