MFL,MFN,MFPA
ANKRD26P1,POLQ,AUH
DRAM1,NT5DC3,DIRAS2
RTP4,GSK3B,RPS15A
ZNF267,LRRC58,SKP1
BCL6,PARPBP,RSL1D1
RPS27P23,NUP37,GNA14-AS1
P3H2,WASHC3,SEC61B
CLDN1,AP3D1,CFAP61
CLDN16,RABL3,INSM1
IL1RAP,PLEKHJ1,LINC00471
MB21D2,GNPTAB,RN7SL607P
VEZF1P1,CHPT1,USP7-AS1
ATP13A3,HCLS1,RN7SL794P
LINC00884,CIRBP,RNA5SP477
CDK17,PEAK3,FSTL4
TNK2,LINGO3,MARCHF3
TNK2-AS1,LSM7,NKX2-4
RUBCN,SPPL2B,NKX2-2
FYTTD1,TIMM13,LINC01727
ANKRD18DP,LMNB2,PAX1
NEMP1,GOLGB1,RBFOX1
H3P16,GAS2L3,LINC02177
RPL14P3,IQCB1,GRIN2A
NAPA,GNG7,MINAR2
LNPEP,RAB3GAP2,GABBR2
PLA2G4C,C12orf73,SLC24A3
MTCO1P24,SCAMP4,NANS
AMIGO2,ABHD17A,ACSL6
MTND5P10,NFYB,CSF2
MTCO2P22,CORO1C,P4HA2
ANO6,SELPLG,SMIM26
ST8SIA4,MTARC1,SEC23B
PLEKHA8P1,MTARC2,CENPNP1
EFNA5,PWWP3A,B3GNT7
EMP3,TMEM119,TMOD1
FER,GAMT,CCNI2
RACK1P1,DAZAP1,CYTOR
RPS27P21,SART3,SPATA3
RPS3AP21,APC2,RPL12P21
STARD4,PWP1,MATR3
STARD4-AS1,REEP6,GADD45G
DACT3,MTERF2,LINC02194
PTGIR,RIC8B,RPL35AP17
MCC,MEX3D,PTPRA
ERAP2,POLR3B,PLAC8L1
PSMB10,MBD3,RPS27
IL4I1,NUAK1,NUP210L
RPL7P23,TCF3,KCTD16
AKT1S1,APPL2,WDFY1
LMBR1L,ALDH1L2,SNAP25-AS1
RHEBL1,ATP8B3,C1orf43
PRMT1,NOPCHAP1,SNIP1
TMEM171,VAV1,NTRK2
RND1,TRHDE,NDFIP1
RPL27AP5,ADGRE4P,GNPDA1
GCNT4,ZNF433-AS1,MEAF6
IQGAP2,ZNF627,AQP8
ACTBP2,GDF11,RNU7-180P
RHOBTB3,ZNF887P,PPP2R2B
SCAMP1-AS1,ITGA7,RPS6P12
HOMER1,ZNF823,C16orf82
TENT2,ZNF441,DPYSL3
PLEKHA4,ZNF440,JAKMIP2
RAPGEF3,ZNF439,SPINK1
LUCAT1,COPB2-DT,CRTC2
RPAP3-DT,ZNF700,TLE1
MCTP1,ZNF763,GSG1L
GRWD1,RBP1,LNCARSR
TRIM36,TMEM198B,SCG2
RPS17P2,NMNAT3,FKBP1A
CPNE8-AS1,ZNF878,SH3TC2
RBM22,SLC25A36,RNY1P10
PCDHAC2,TESPA1,SH3TC2-DT
ARNTL2,TFDP2,USP21P1
BHLHE41,ZNF44,PCDH1
RASSF8,PDE1B,USP31
RASSF8-AS1,NCKAP1L,DAPK1-IT1
SMG9,GTSF1,STK40
NR3C1,GK5,UBE2D2
LINC00477,ZNF443,UBE2Q1
SOX5-AS1,SLC45A3,RN7SL547P
GPX3,MRPS22,LINC02843
TNFAIP8,PRIM1,SPHKAP
TNIP1,SPC24,UMOD
SOX5,CEP70,DAW1
ST3GAL2,TIMELESS,CYSTM1
CLINT1,FAIM,ACSM2A
EBF1,PIK3CB,ACSM5P1
RNF145,PAN2,CTSL
IL12B,CS,SLC19A3
MIR3142HG,ANKRD52,IL6R
ATP10B,NABP2,IL6R-AS1
NFAT5,TIMM29,HS3ST2
NRG2,SMARCC2,C2orf83
PVR,ESYT1,DNAH3
CEACAM19,KANK2,LDAF1
TUBAP15,FOXL2NB,PCDHA4
PRR16,PA2G4,GAS1
GRAMD2B,RPS26,OTOA
CPNE8,RAB3D,PCDHA10
ISOC1,SUOX,VWA3A
IRF1-AS1,PLPPR2,PCDHB1
IRF1,EPOR,PCDHB11
H3-5,CDK2,NYAP2
IFITM3P2,RAB29,CDR2
FLJ13224,DGKA,OTOAP1
C5orf15,PYM1,GRIK3
TCF7,NUCKS1,LINC01863
JADE2,GPR84,KIR3DX1
HAS3,HNRNPA1,CTBP2P2
MTCYBP18,CBX5,FTL
MTND5P11,SUCNR1,POU5F1B
RPL7P19,NFIX,PPP1R15A
NECTIN2,LYL1,CASC11
BCL3,NACC1,NUCB1
TBC1D17,STX10,MYC
ATF5,SLC4A8,LINC01568
IL15,GALNT6,CASC15
IRF2-DT,CACNA1A,MARVELD3
LILRA6,YJU2B,LINC00824
LILRB3,MRI1,CCDC26
VEGFC,BIN2,GSDMC
TENM3-AS1,TFCP2,RPL37A
TENM3,LETMD1,CD8B2
WWC2-AS2,SMUG1,ANAPC1P6
MYL12BP2,METTL7A,HSD17B14
LINC02362,LARP4,GPLD1
IRF2,BRME1,FUT1
CASP3,CC2D1A,PRNCR1
LILRB2,GPD1,CASC19
ACSL1,DCAF15,FUT2
MIR3945HG,SMARCD1,PCAT1
RPS27AP16,ASIC1,KNOP1P5
LINC01093,IL27RA,RPL18
TLR3,RACGAP1,SPACA4
ITGA5,P2RY1,FAM83E
CALCOCO1,ERICH6-AS1,SULT2B1
TUBB7P,PFN2,TDP2
DUX4L9,COMMD2,LINC00861
LILRB5,FARSA,TRIB1
DDX60L,TRPC1,KDELR1
PRPF40B,ZNF490,ZNRF1
STAT2,ZNF791,LNC-LBCS
BAZ2A,RBBP5,TAT
SMARCA5,U2SURP,NCK2
HHIP-AS1,SLC9A9,KLF17
HHIP,TARBP2,LINC02055
OTUD4,DHPS,COL22A1
MMAA,MAP3K12,KCNK9
POU4F2,PRR13,RNF182
ARHGAP10,SP1,PLEKHO1
AK4P6,HOOK2,CLEC18A
IL23A,AAAS,C8orf17
DDX60,ESPL1,NDRG1
RPS3AP18,MFSD5,MCUR1
TMEM150B,RARG,NOB1
GUCY1A1,ZNF740,AGO2
GUCY1B1,CSAD,ATP6V0B
RXFP1,DNASE2,NQO1
NAF1,SNRPE,PHACTR1
MMP19,TNS2,CPT1C
LILRB4,HLTF,JARID2
LILRB1,HPS3,KHDRBS3
UBE2QL1,ILF3,RRAS
NSUN2,SLC44A2,ST3GAL1
NR4A1,TBC1D15,MYLIP
ITGA2,RBMS1P1,MTSS2
FBXL8,ELAVL1,RPS11
PTGER4,C1orf74,RPL13A
HSF4,TRAF3IP3,VAC14
CARD6,CERS4,VAC14-AS1
VSIG10L,CD320,RBM24
EEF1A1P19,DYRK2,SLC17A7
EXOC3L1,UBA5,HYDIN
RPL29P12,LAMB3,CAP2
ITGA1,NPHP3,CALB2
KLK10,CAND1,H2BC21
TENT4A,TOPBP1,RNU6-758P
IL6ST,IRAK3,CFDP1
GPBP1,DNAJC13,SQLE
FMNL3,HNRNPM,HSD17B2
ELOVL7,PRAM1,IRF2BP1
ZSWIM6,TMBIM4,HAS2
RGS7BP,MYO1F,NOVA2
SGTB,ADAMTS10,OSGIN1
NLN,LLPH,HAS2-AS1
FAM186B,HMGA2-AS1,CDH13
RICTOR,HMGA2,IGFL2
TRADD,ZNF558,LINC01789
PHAF1,SRPRB,IGFL2-AS1
LIFR,LINC02454,CD83P1
TAMALIN,TIMM44,HIF3A
ANKRD33B,SNAPC2,FAM83A
EEF1A1P13,ZBTB39,FAM83A-AS1
MYO10,PRANCR,BCO1
FTH1P10,TMEM19,RSPH6A
MSNP1,ZNF557,WFDC1
CELA1,INSR,H3C12
PDZD2,ARHGEF18,TESK2
RPL37P23,LINC00467,QPCTL
TPT1P5,PTPRB,SNRPD2
CSRNP2,TRAF5,SAMD12-AS1
PRLR,ZNF358,SAMD12
IL7R,MCOLN1,EML2-AS1
CAPSL,PNPLA6,CCDC163
SLC11A2,PIK3R4,LINC02805
SPACA6,ASTE1,LINC00311
SLC1A3,ACP3,FOSB
