gene_id,MFL01,MFL02,MFL03,MFL04,MFPA01,MFPA02,MFPA03,MFPA04
ENSG00000231050.2,3,5,2,2,1,2,3,2
ENSG00000169885.10,2,5,2,5,0,0,1,0
ENSG00000178821.13,4,2,0,2,1,0,1,7
ENSG00000142609.20,1,2,1,0,4,2,11,3
ENSG00000233542.2,0,0,0,1,0,0,0,0
ENSG00000187730.9,0,0,1,0,1,0,0,2
ENSG00000226969.1,0,0,0,0,2,3,2,2
ENSG00000067606.17,22,30,14,22,15,9,15,11
ENSG00000271806.1,1,0,0,0,5,6,18,5
ENSG00000182873.5,7,4,9,4,0,1,7,4
ENSG00000162585.17,492,510,332,444,245,225,273,256
ENSG00000234396.3,0,0,0,0,2,0,2,1
ENSG00000157933.10,386,353,297,407,384,293,330,389
ENSG00000287356.1,5,6,4,6,0,2,1,0
ENSG00000116151.14,104,88,74,92,15,11,14,13
ENSG00000272161.1,0,0,0,0,0,0,0,0
ENSG00000269896.2,55,35,30,61,2,2,10,8
ENSG00000272420.1,1,0,2,4,1,0,0,0
ENSG00000157916.20,2171,2184,1687,1902,986,857,948,1078
ENSG00000157911.11,187,183,118,175,67,70,69,96
ENSG00000149527.18,1,0,1,1,0,0,1,0
ENSG00000229393.1,0,0,0,2,0,0,0,0
ENSG00000157881.16,391,431,312,375,176,180,177,209
ENSG00000197921.6,0,0,0,1,0,0,1,0
ENSG00000272449.2,5,3,4,2,8,4,5,2
ENSG00000238164.6,34,56,28,34,15,7,6,9
ENSG00000157873.18,765,780,582,668,114,134,142,159
ENSG00000225931.3,1,2,1,2,3,2,0,1
ENSG00000228037.1,2,2,2,5,5,2,0,1
ENSG00000289610.1,0,3,3,0,0,0,0,0
ENSG00000157870.17,170,169,133,147,164,185,176,196
ENSG00000142606.16,0,2,0,0,0,0,1,0
ENSG00000237058.1,0,0,0,0,0,0,0,0
ENSG00000215912.12,17,8,7,10,3,1,4,5
ENSG00000285945.1,1,0,0,0,0,0,0,0
ENSG00000284745.1,0,0,0,0,0,0,1,0
ENSG00000142611.17,0,0,0,1,3,3,8,1
ENSG00000283572.1,0,1,0,0,0,0,0,0
ENSG00000279839.1,0,0,0,0,5,1,5,4
ENSG00000272235.1,0,0,0,0,0,0,1,0
ENSG00000286518.1,0,0,0,0,0,0,1,0
ENSG00000130762.15,20,18,16,19,11,7,12,16
ENSG00000272088.1,0,0,0,1,0,0,0,0
ENSG00000162591.16,242,254,206,228,18,29,18,22
ENSG00000207776.1,0,0,0,0,0,0,1,0
ENSG00000238260.2,2,1,5,1,1,0,1,1
ENSG00000158109.15,599,612,457,523,541,461,494,551
ENSG00000116213.16,590,589,443,516,172,175,147,189
ENSG00000078900.15,60,59,45,64,13,18,29,15
ENSG00000227589.1,0,0,1,1,0,2,1,1
ENSG00000235131.1,2,0,1,1,0,0,1,0
ENSG00000227372.12,297,275,215,285,47,52,48,60
ENSG00000162592.10,21,26,27,19,3,5,4,5
ENSG00000235169.11,1,3,5,4,3,0,1,0
ENSG00000130764.10,824,803,554,704,250,235,266,312
ENSG00000266075.2,0,3,1,0,2,1,2,6
ENSG00000272153.1,11,19,13,15,1,1,3,5
ENSG00000116198.14,584,589,408,542,185,197,187,208
ENSG00000169598.17,114,107,82,95,19,8,10,11
ENSG00000198912.12,446,416,357,390,277,261,244,317
ENSG00000236423.7,31,30,17,44,15,12,13,12
ENSG00000233304.7,0,0,0,0,2,0,2,0
ENSG00000284668.2,0,0,0,1,0,0,0,0
ENSG00000284703.1,0,0,0,1,7,4,11,3
ENSG00000229280.1,0,2,0,0,1,1,3,1
ENSG00000235054.4,0,0,0,0,0,0,2,0
ENSG00000284694.1,0,0,0,0,1,2,0,1
ENSG00000232596.3,0,0,0,0,4,3,5,2
ENSG00000196581.11,6,10,9,6,18,18,21,13
ENSG00000287586.1,4,4,3,1,0,0,0,1
ENSG00000284674.1,0,0,0,0,4,3,2,1
ENSG00000231510.1,0,0,0,0,0,1,0,2
ENSG00000284616.1,0,0,0,0,2,0,1,0
ENSG00000284692.2,0,0,0,0,1,1,1,3
ENSG00000236948.2,0,0,0,0,0,0,1,0
ENSG00000264101.1,0,0,1,0,0,0,0,0
ENSG00000131697.18,326,317,240,327,71,76,96,88
ENSG00000069424.16,4451,4166,3486,4205,4679,4043,4644,5209
ENSG00000116254.18,6,2,3,5,7,7,8,10
